第,h
把,q
汗,n
担心,v
不能,vu
而,c
丢,v
六,m
届,q
高峰期,n
过,v
２７,m
只有,c
１０,m
归,v
得主,n
开幕,v
以来,nt
决出,v
最少,a
举重,n
举行,v
级别,n
１１０,m
公斤,q
以上,nd
级,n
谁,r
没有,d
预料,v
爆出,v
冷门,n
八,m
解放军队,ni
湖北,ns
组,n
不相上下,i
较,v
技高一筹,i
威胁,v
不下,v
十,m
余,n
次,q
失望,v
由,p
陈,nhf
金刚,n
点球,n
成功,a
才,d
射进,v
唯一,a
求胜,v
心切,a
使得,v
时机,n
掌握,v
即使,c
搅,v
门前,nl
乱,a
一团,mq
破,v
不了,v
交锋,v
上场,v
领队,n
高大,a
中锋,n
王兴华,nh
未,d
换,v
服,n
喜形于色,i
地,u
向,p
队长,n
庄连胜,nh
说,v
让,p
贾,n
贾秀全,nh
多,a
出击,v
自己,r
破门,v
之后,nt
拚力,v
强攻,v
试图,v
挽回,v
败局,n
然而,c
乘虚而入,i
进,v
组织,v
好,a
防守,v
想,v
扩大,v
战果,n
投入,v
兵力,n
超过,v
注意,v
后卫,n
前场,nl
助攻,v
很少,a
想到,v
撤,v
中路,nl
为主,v
用,p
陈金刚,nh
充任,v
派,v
担,v
此,r
重任,n
打法,n
两翼,n
很,d
吕洪祥,nh
霍建廷,nh
任,v
边锋,n
启用,v
左树发,nh
难,a
战术,n
变化,v
线路,n
点,n
单一,a
禁区,n
内,nd
办法,n
穿插,v
之中,nd
相互,d
配合,v
也,d
不够,a
默契,a
同,p
下半场,n
场边,nl
教练员,n
疾呼,v
快,a
换人,v
有的,r
没劲,a
未能,vu
安排,v
要求,v
就,d
如,v
边,n
山春季,nh
张俊强,nh
两侧,nl
不断,d
压上,v
角球,n
中卫,n
尹怡,nh
争顶,v
另,r
刘毅,nh
屡屡,d
冲到,v
显得,v
支持,v
一旦,d
回防,v
慢,a
造成,v
就是,d
例证,n
落马,v
能,vu
今后,nt
什么,r
启示,v
值得,v
总结,v
一番,mq
听说,v
市政,n
五,m
公司,n
条,n
高速公路,n
投标,v
中标,v
非常,d
高兴,a
周炳,nh
回到,v
广州,ns
胡杏,nh
一家,mq
惊喜,v
异常,a
自明,v
一月,nt
起,v
摄制,v
重大,a
题材,n
故事,n
影片,n
电影厂,n
提供,v
资助,v
基金,n
解决,v
拍摄,v
此类,n
经费,n
困难,n
革命,v
历史,n
指,v
一八四０,m
鸦片战争,n
特别,d
一九二一,m
中国共产党,ni
成立,v
斗争,n
内容,n
现实,n
新中国,n
社会主义革命,n
建设,v
改革,v
中的,v
事件,n
申请,v
制作,v
单位,n
自行,d
中央,n
国务院,ni
或,c
主管部门,n
指示,n
上述,v
故事片,n
而且,c
部,n
需,v
耗资,v
百万,m
元,q
一百五十万,m
著名,a
岭,n
南派,n
画家,n
赵少昂,nh
黎雄才,nh
关山月,nh
杨善深,nh
北京中国美术馆,ns
举办,v
合作,v
画展,n
露,v
画,n
纸上,nl
欢聚,v
妙趣,n
岭南,ns
画派,n
创始,v
于,p
辛亥革命,n
高剑,nh
父,n
高,a
奇峰,n
兄弟,n
及,c
陈树人,nh
何香凝,nh
等,u
广东,ns
百年,nt
重要,a
三十,m
多年来,nt
赵,nhf
杨,nhf
寓居,v
香港,ns
关,nhf
黎,nhf
长住,v
因,c
长期,nt
不得,vu
聚首,v
成为,v
件,n
憾事,n
一九八一,m
有幸,a
碰面,v
特,d
选,v
喜,v
相逢,v
酒家,n
庆贺,v
作画,v
如今,nt
展出,v
幅,n
作品,n
几经,v
传递,v
辗转,v
交换,v
完成,v
老,a
虽,c
风貌,n
心,n
照,p
神交,v
珠联璧合,i
体现,v
统一,v
完整,a
意境,n
可谓,v
天衣无缝,i
筹备,v
工作,n
正在,d
加紧,v
进行,v
文化部,ni
拟于,v
一九八八,m
天津市,ns
京,n
沪,ns
部分,n
省市,n
京剧,n
剧目,n
汇演,v
目前,nt
预定,v
十二月,nt
此举,n
目的,n
是以,c
作为,n
振兴,v
步骤,n
基础上,nl
选拔,v
艺术节,n
京剧院,n
团,n
拿出,v
台,n
创作,v
改编,v
移植,v
现代戏,n
新编,v
古代,nt
戏,n
经过,p
推陈出新,i
传统剧目,n
以下,nd
优秀,a
青年,n
演员,n
演出,v
整理,v
折子戏,n
专场,n
中国画,n
研究院,n
院长,n
美术家,n
李可,nh
染,v
美术界,n
知名人士,n
参观,v
展览,v
颂扬,v
自,p
党,n
十一,m
三中全会,j
实行,v
开放,v
政策,n
埃及,ns
继,v
荷兰,ns
以后,nt
巴勒莫,ns
拉法沃里达,ns
体育场,n
爱尔兰,ns
上下,n
积分,v
更加,d
戏剧化,v
球队,n
战绩,n
相同,a
一样,a
比利时,ns
乌拉圭,ns
一开始,v
长,n
有短,v
积极,a
却,d
过于,d
细腻,a
拉,v
开,v
架势,n
半,m
德沃尔夫,nh
左,nd
路,n
运球,v
甩脱,v
盯,v
守,v
传至,v
４,m
克利斯特尔斯,nh
乱军,n
丛,n
头球,n
疾,n
入网,v
离,v
还有,v
３６,m
老将,n
埃里克·热内因,nh
犯规,v
红牌,n
罚下,v
尽管,d
上阵,v
照样,v
极有,v
气势,n
银笛,n
响,v
大举,d
瑟勒芒斯,nh
单人,n
独,a
骑,v
带,v
长驱直入,i
闯,v
至,v
脚,n
劲射,v
本,n
添上,v
逆境,n
６５,m
本戈查利,nh
射入,v
吃,v
零,m
蛋,n
西班牙,ns
扫,v
上轮,n
颓势,n
南朝鲜,ns
角逐,v
显出,v
欧洲,ns
劲旅,n
本色,n
２１,m
何塞·米格尔·冈萨雷斯,nh
尽,v
风头,n
踢,v
勇猛,a
但是,c
不太,d
走运,v
刚,d
攻入,v
皇甫宫,nh
比分,n
变为,v
平,a
鸣,v
则,c
一鸣惊人,i
大名,n
世界杯赛,n
射手,n
榜上,nl
位置,n
一跃,v
西德,ns
马特乌斯,ns
弗尔勒尔,nh
齐,a
驱,v
创下,v
杯赛,n
球赛,n
冈萨雷斯,nh
一帆风顺,i
别人,r
学成,v
成年,n
甲级队,n
挑选,v
走,v
一直,d
等到,v
１９７８,m
加盟,v
皇家,n
马德里,ns
青年队,n
１９８１,m
晋升,v
站稳脚跟,i
国家队,n
员,n
代表,v
参赛,v
４４,m
役,n
２８,m
中场,nl
快速,a
球门,n
区,n
右侧,nd
瞄准,v
布特拉格诺,nh
凌空,v
抽射,v
粒,n
漂亮,a
第三,m
右,nd
绝伦,v
无比,a
近年,nt
足坛,n
涌现,v
球员,n
推崇,v
真正,d
完美,a
段,q
由于,c
不佳,a
球迷,n
指责,v
稳定,a
认真,a
一方,n
脚法,n
颇,d
拉丁,v
风格,n
大刀阔斧,i
展,v
英,n
式,k
硬朗,a
踢法,n
几乎,d
开局,v
明白,v
查尔顿,nh
所,u
对付,v
爱,j
军,n
顶,n
射,v
１９,m
获得,v
前卫,n
希迪,nh
大半,n
处于,v
舒拜尔,nh
出众,a
范围,n
活动,v
锋,n
奥尔德里奇,nh
卡斯卡里诺,nh
一筹莫展,i
顽强,a
抢,v
面前,nd
仍然,d
４０,m
切入,v
防区,n
加尼,nh
偏出,v
激战,v
９０,m
爱尔,ns
显然,a
经受,v
考验,v
仗,n
英格兰,ns
做,v
热身,v
和平,ns
红桥,ns
河西区,ns
团体,n
后防,v
稳固,a
控,v
突出,a
蒂斯,nh
有些,m
惋惜,v
受伤,v
有所,v
削弱,v
华盛顿,ns
仍,d
晋级,v
一定,d
要,vu
房管局,n
鉴定,v
勘测,v
设计院,n
技术人员,n
一行,mq
到达,v
现场,n
开始,v
勘查,v
国家文物局,ni
专家组,n
专家,n
们,k
独乐寺,ns
处,v
具有,v
价值,n
建筑,v
其,r
山门,n
现存,v
最,d
古老,a
庑殿,ns
观音,n
阁,n
也是,vl
木结构,n
楼阁,n
独一无二,i
保护,v
维修,v
这样,r
古建筑,n
科研,n
课题,n
对待,v
中央电视台,ni
今晚,nt
３０,m
长城,n
幻影,n
展现,v
节目,n
飞机,n
遁,v
架,n
变,v
无影无踪,i
表演,v
自由,a
女神,n
像,n
消失,v
美国,ns
纽约,ns
海边,nl
观众,n
刹那间,nt
搬走,v
飞越,v
峡谷,n
腾,v
身,n
飞翔,v
大卫,nh
来到,v
穿,v
墙,n
术,n
魔术,n
一面,n
马洪建,nh
画就,v
象,p
读,v
首,n
诗,n
那,r
朴实,a
无华,v
画面,n
凝练,a
语言,n
默默,a
含情,v
咏叹,v
北方,nd
山水,n
田园,n
喜欢,v
大概,d
深厚,a
情感,n
需要,v
由此,d
发泄,v
直到,v
走出,v
学校,n
膀大腰圆,i
每天,nt
拿,v
十二分,a
壮劳力,n
紧紧,d
握,v
画笔,n
时代,nt
唤起,v
这位,r
壮汉,n
激情,n
重新,d
静,a
审视,v
曾经,d
依恋,v
深爱,v
山,n
一水,a
草,n
木,n
背起,v
画夹,n
游历,v
黄山,ns
峨嵋山,ns
桂林,ns
黄果树瀑布,ns
梦幻,n
般,n
美景,n
画出,v
张,q
犹如,v
本市,n
国画,n
吹来,v
清爽,a
风,n
熟悉,v
种,q
亲切感,n
勾起,v
无限,d
回忆,v
遐思,v
早春,nt
图中,nl
棵,q
拔出,v
嫩枝,n
树干,n
后面,nl
映,v
柔,a
合,v
煦,a
和谐,a
美感,n
世界杯,n
保安,v
部门,n
关注,v
热点,n
足联,j
批准,v
召,v
名门,n
代替,v
姆,n
西曼,nh
阿根廷,ns
允许,v
可,vu
替换,v
脚伤,n
蓬,n
皮,n
苏联,ns
线,n
大将,n
布鲁查加,nh
迷信,v
剃,v
去,v
脸上,nl
胡子,n
答应,v
请求,v
笑,v
道,v
毛发,n
一向,d
生长,v
旺盛,a
刮脸,v
恐怕,d
捧,v
只能,vu
拖,v
走路,v
越南,ns
首都,n
陷入,v
疯狂,a
街道,n
早,a
便,d
空无一人,i
因为,c
争取,v
睡眠,n
以便,c
晚上,nt
观看,v
电视,n
直播,v
表示,v
同事,n
早上,nt
闭,v
着眼,v
通宵,nt
看球,v
离开,v
球场,n
找回,v
雨伞,n
它们,r
堆,v
一起,d
辩,v
认,v
意大利,ns
女,n
骑警,n
热那亚,ns
巡逻,v
坐骑,n
突然,d
苏格兰,ns
风笛,n
演奏,v
惊吓,v
发狂,v
马蹄,n
踏,v
坏,a
辆,q
停,v
路边,nl
轻便,a
摩托车,n
阿联酋,j
８,m
哈立德,nh
豪华,a
罗尔斯罗伊,ni
名贵,a
汽车,n
败阵,v
国家,n
英雄,n
得到,v
商,n
艾哈杜亚,nh
许诺,v
看见,v
窝,n
出来,vd
一生,nt
美妙,a
上午,nt
开赛,v
发令枪,n
３００,m
钓,v
银线,n
飞舞,v
湖面,nl
鱼漂,n
甚为,d
好看,a
较量,v
王振民,nh
总,a
重量,n
奖,v
首席,n
董廷琪,nh
村,n
幸,v
男,n
列,n
吕庆,nh
喜获,v
单,a
尾,n
姜化民,nh
李天东,nh
分获,v
杨学义,nh
３５,m
尾数,n
陈伟民,nh
董维忠,nh
市领导,n
刘晋峰,nh
张再旺,nh
刘曾坤,nh
石坚,nh
钓鱼,v
协会,n
副主席,n
江一真,nh
出席,v
发奖,v
仪式,n
颁奖,v
较为,d
鲁德鹏,nh
项,q
年龄,nt
达到,v
健将,n
等级,n
标准,n
最小,a
运动健将,n
沉浸,v
一片,mq
热烈,a
友好,a
气氛,n
里,q
长安街,ns
彩旗,n
飘扬,v
巨大,a
标语,n
写,v
坚决,a
索马里,ns
人民,n
维护,v
民族,n
独立,v
主权,n
正义,n
外交部,ni
礼宾司,ni
副,h
司长,n
傅顺和,nh
专程,d
前往,v
卡拉奇,ns
迎接,v
西亚德,ns
总统,n
李先念,nh
总理,n
政府,n
一如既往,i
站,v
伟大,a
非洲,ns
一边,d
全部,n
团结,v
反霸,v
外国,n
撤出,v
深信,v
坚持,v
能够,vu
挫败,v
超级大国,n
侵略,v
干涉,v
控制,v
颠覆,v
阴谋,n
胜利,v
属于,v
果敢,a
行动,n
你们,r
成果,n
感到,v
由衷,a
派遣,v
雇佣军,n
安哥拉,ns
角,n
肆意,d
插手,v
内政,n
事务,n
挑起,v
武装,n
冲突,v
为了,p
既得利益,i
支撑,v
沃斯特,nh
史密斯,nh
种族主义,n
政权,n
日益,d
起来,vd
消除,v
岐,x
共同,d
反对,v
大国,n
霸权主义,n
肃清,v
帝国主义,n
殖民主义,n
罪恶,n
势力,n
创建,v
完全,a
繁荣富强,i
英勇,a
战斗,v
相信,v
阁下,n
访问,v
必将,d
进一步,v
发展,v
两国,n
友好合作,v
关系,n
友谊,n
做出,v
贡献,n
讲话,v
间,n
纽带,n
加强,v
华,ns
主席,n
实现,v
农业,n
工业,n
科技,n
国防,n
现代化,v
本世纪,nt
社会主义,n
强国,v
方毅,nh
座谈会,n
介绍,v
最近,nt
召开,v
科学,n
大会,n
盛况,n
着重,v
讲述,v
中共中央,j
关于,p
技术,n
战略,n
决策,n
一九七八,nh
一九八五,m
规划,n
纲要,n
草案,n
主要,a
以及,c
抓紧,v
落实,v
邓,nhf
透彻,a
阐明,v
战线,n
迫切,a
理论,n
方针,n
问题,n
四人帮,n
摧残,v
情景,n
确实,d
一去不复返,i
党中央,n
心连心,v
通过,p
生动,a
坚信,v
四个现代化,i
中华民族,n
高度,n
文化,n
屹立,v
世界,n
大家,n
发言,v
一致,a
拥护,v
为首,v
英明,a
祝贺,v
园,n
满,a
委员,n
粉碎,v
高举,v
毛主席,nh
旗帜,n
率领,v
办,v
大事,n
成就,n
现在,nt
举国上下,i
团结一致,i
执行,v
路线,n
贯彻,v
人大,j
精神,n
时期,nt
总任务,n
努力,v
奋斗,v
精,a
减,v
科室,j
人员,n
充实,a
第一线,n
力量,n
河西区蔬菜副食品公司,ni
党委,n
狠抓,v
机关,n
整顿,v
抽调,v
分之,u
二十,m
干部,n
基层,n
商店,n
配备,v
二把手,n
相应,v
三十五,m
付,v
主任,n
门市部,n
促进,v
革命化,v
推动,v
服务,v
更上一层楼,i
这个,r
编制,v
原为,vl
五十五,m
年中,nt
反革命,n
修正主义,n
毒害,v
同志,n
滋长,v
官僚主义,n
借调,v
上来,vd
很多,a
党团员,j
骨干,n
协助,v
所属,n
七十,m
国营,v
党员,n
年初,nt
推广,v
谦德庄,ns
搞好,v
先进,a
经验,n
过程,n
受到,v
深刻,a
所以,c
搞,v
成员,n
深入,a
带头,v
大干,v
干,v
指挥,v
尤其,d
首先,d
学,v
做到,v
亲临,v
围绕,v
供应,v
中心,n
任务,n
实施,v
面对,v
面,n
切实,a
改变,v
过去,nt
坐,v
办公室,n
划,v
圈圈,n
上边,nd
空喊,v
大庆,ns
大寨,ns
不正之风,i
一百七十,m
响应,v
号召,v
纷纷,d
报名,v
真,a
刀,n
实,a
砍,v
抓好,v
酝酿,v
抽出,v
十八,m
能力,n
其中,nd
书记,n
科长,n
担任,v
职务,n
同时,c
十五,m
领导班子,n
一二三,m
把手,n
职,n
薄弱,a
兼任,v
负责人,n
原,a
刘启明,nh
下去,v
店,n
一把手,n
带领,v
一班人,n
各个,r
抓,v
入手,v
具体,a
帮助,v
发扬,v
正气,n
调动,v
积极性,n
面貌,n
发生,v
明显,a
如何,r
为此,c
常委,j
带队,v
组成,v
工作组,n
分片,v
抓点,v
办公,v
除,p
提高,v
效率,n
职能,n
那样,r
面向,v
不光,c
上面,nd
听,v
汇报,v
靠,v
电话,n
情况,n
无,v
准备,v
报,n
上层,nl
下层,n
迈开,v
可喜,a
步,n
亚洲,ns
地区,n
发动,v
连续不断,i
攻势,n
动向,n
请看,v
短短,a
半年,nt
制造,v
前后,nt
它,r
多次,mq
策划,v
未遂,v
五月,nt
策动,v
突然袭击,v
入侵,v
扎伊尔,ns
燃起,v
沙巴,j
战争,n
战火,n
六月,nt
红海,ns
局势,n
急剧,d
动荡,a
这些,r
看到,v
近期,nt
紧接着,v
来势,n
猛,a
甚,d
急,a
狡诈,a
毒辣,a
无所不用其极,i
一再,d
企图,v
搞垮,v
现,v
中部,nd
建立,v
亲,v
苏,j
地带,n
中间,nd
腰斩,v
南部,nd
军事,n
卷入,v
派驻,v
基地,n
攫取,v
两岸,nl
港口,n
通道,n
南亚,ns
巩固,v
立足点,n
加剧,v
趁机,d
南下,v
印度洋,ns
沙皇,nh
海上,nl
争霸,v
迷梦,n
对垒,v
一时,nt
难以,d
下手,n
于是,c
以外,nd
西方,nd
环节,n
从而,c
横扫,v
外围,n
紧逼,v
全球,n
部署,v
动手,v
整个,a
西欧,ns
势,n
陷于,v
欲,d
危险,a
境地,n
力图,v
当作,v
古巴,ns
挑动,v
当局,n
柬埔寨,ns
印度支那,ns
一改,v
攻击,v
咒骂,v
东盟,j
腔调,n
提出,v
所谓,a
东南亚,ns
诱饵,n
实际上,nl
变相,v
兜售,v
早已,d
臭不可闻,i
亚安,n
体系,n
太平洋,ns
舰队,n
随时,d
现成的,n
军事基地,n
前沿,nl
阵地,n
海参崴,ns
南,nd
推进,v
千,m
公里,q
日本,ns
直接,a
各国,n
安全,a
同样,a
组成部分,n
扩张,v
以往,nt
穷凶极恶,i
特点,n
及其,c
代理人,n
公开,v
干预,v
抢占,v
要地,n
赖,v
可见,c
外籍,n
火中,nl
取,v
栗,n
当前,nt
对外,d
到处,nl
扶植,v
社会,n
采取,v
政变,v
暗杀,v
听命于,v
第三世界,n
惯于,v
双管齐下,i
策略,n
即,d
一方面,n
同现,v
打交道,v
另一方面,c
暗中,d
指使,v
事端,n
伺机,v
亚非,j
大搞,v
顺,a
者,k
昌,a
逆,a
亡,v
稍,d
具,v
独立自主,i
倾向,n
领导人,n
相容,v
千方百计,i
搞掉,v
甚至,d
采用,v
卑劣,a
手法,n
肉体,n
加以,v
消灭,v
随着,p
断,v
动乱,n
不已,v
咄咄逼人,i
当务之急,i
警惕,v
自卫,v
反,v
奇怪,a
显眼,a
地方,n
匆匆,a
打动,v
深深,a
爱上,v
离别,v
十六,m
历时,v
载,nt
文化大革命,n
林彪,nh
迫害,v
头上,nl
戴,v
紧箍咒,n
时光,n
沙石峪,ns
常常,d
光彩夺目,i
宝石,n
闪现,v
心头,nl
无数,m
默念,v
有一天,v
看望,v
你,r
如愿,v
偿,v
暑气,n
未消,v
秋意,n
初,a
临,v
日子,nt
久别,v
游子,n
山村,n
怀抱,n
乍,d
一眼,mq
似乎,d
照旧,v
四面,nd
环绕,v
质朴,a
勤劳,a
仔细,a
观察,v
寸土,n
地上,nl
不同,a
往昔,nt
水声,n
淙淙,o
果实累累,i
稼,n
丰茂,a
锦绣,n
传说,n
遥远,a
年代,nt
北,nd
住,v
一对,n
金,n
鸽子,n
咕咕,o
叫,v
清,a
泉水,n
流,v
九,m
十七,m
沟,n
年复一年,i
无论,c
春夏秋冬,nt
天,n
亮,a
男男女女,n
背着,v
葫芦,n
水桶,n
赶,v
毛驴,n
里外,nd
大老峪,ns
弄,v
水,n
盆,n
往往,d
洗,v
菜,n
洗脸,v
洗完,v
脸,n
衣服,n
喂,v
猪,n
自从,p
一九六八,m
认为,v
不出,v
泉眼,n
连续,v
打成,v
十四,m
眼,n
机井,n
不仅,c
遍布,v
环行,v
渠,n
块,q
梯田,n
沾,v
雨露,n
上百,m
亩,q
使用,v
喷灌,v
滴灌,v
懂,v
土壤,n
作物,n
本身,n
除了,p
石头,n
土,n
山外,nl
筐,n
运来,v
层,q
薄,a
属,v
费尽,v
九牛二虎之力,i
农村,n
发出,v
寨,n
人和,n
立刻,d
找到,v
差距,n
农田,n
基本建设,n
瘠,a
土地,n
稳产高产,n
海绵,n
田,n
实在,d
相比,v
啊,e
山上,nl
因此,c
降低,v
硬是,d
更,d
充分,a
愚公,n
造,v
便是,vl
一九六六,m
春,nt
树立,v
样板,n
民兵,n
山坡,n
青石板,n
白天,nt
铁锤,n
撬,v
棍,n
凿,v
石,n
垒,v
坝,n
往返,v
南山,ns
口外,nl
共担,v
一千,m
行程,n
一万,m
引为,v
自豪,a
万里,mq
改天换地,i
标志,n
高峰,n
进军,v
鲜艳,a
红旗,n
恰,d
这时,r
敬爱,v
周,nhf
陪,v
外宾,n
热情,a
肯定,v
鼓励,v
谦虚,a
成绩,n
养猪,v
全面,a
的确,d
户,n
单说,v
去年,nt
肥猪,n
达,v
七百八十,m
头,n
肥,n
粮食,n
高产,n
楼,n
重,q
亩产,v
一千五百,m
斤,q
双,a
过江,v
长江,ns
倍,n
说来,v
简单,a
轻易,a
霜期,nt
一百八十,m
北国,nl
解放前,nt
不足,a
梁,n
薄地,n
珍珠,n
油,n
赤贫,a
山坳,n
付出,v
心血,n
流淌,v
多少,r
汗珠,n
恶,a
往,p
逆流,n
前期,nt
干扰,v
破坏,v
产量,n
一度,d
徘徊不前,i
一九七二,m
党支部,n
痛切,a
最大,a
决心,n
为时,v
批,v
林,n
整风,v
农林,j
牧,v
很快,a
飞跃,v
从此,d
话,n
句,n
咬紧牙关,v
一步一个脚印,i
仅,d
论,v
总产,n
万,m
一九七七,m
大关,n
麦,n
习惯,v
不但,c
种植,v
改为,v
茬,q
季,nt
麦收,v
还要,v
白面,n
主食,n
棒子,n
多半,m
用来,v
全年,nt
征购,v
不过,d
交售,v
麦子,n
二十万,m
极其,d
艰巨,a
初步,a
尝试,v
亲眼,d
东山,ns
绕,v
北山,ns
西山,ns
造出,v
平川,n
大体上,nl
宽,n
全长,n
千米,q
比起,v
不知,v
雄伟,a
正是,vl
怀,v
故乡,n
极为,d
虔敬,a
心情,n
点燃,v
香,a
瓣,q
见闻,n
珍贵,a
礼品,n
哪,r
客观,a
条件,n
优越,a
某些,r
其他,r
各业,n
遭受,v
估量,v
损失,v
一伙,mq
吹,v
小靳庄,ns
来说,v
那么,r
人力,n
物力,n
最终,d
只不过,d
江青,nh
篡党夺权,i
黑,a
前不久,nt
趟,q
地震,v
强加,v
社员,n
房屋,n
统建,v
农民,n
至今,d
不住,v
简陋,a
防震,v
棚里,nl
追随者,n
德政,n
亿,m
神州,n
舜,ns
尧,ns
事情,n
郊县,n
成千上万,i
当代,nt
花,n
海,n
河,n
滨,n
盛开,v
八月,nt
二十三,m
天津丁字沽,m
协议,n
签订,v
中南,nd
生存,v
义,n
恒定,v
主题,n
制约,v
人口,n
资源,n
生态,n
环境,n
要素,n
综合,v
系统,n
分析,v
题为,v
国情,n
报告,n
胡鞍钢,ni
王毅,nh
正文,n
执笔,v
当然,d
理想,n
模式,n
而是,vl
迫不得已,i
选择,v
否则,c
丧失,v
掉,v
长远,a
基本,a
激烈,a
竞争,v
一代,nt
代,nt
中国人,n
具备,v
危机感,n
忧患,n
感,n
紧迫感,n
艰苦奋斗,i
整体,n
励精图治,i
困境,n
采访,v
份,q
自称,v
一家之言,n
展开,v
持续,v
膨胀,v
迭起,v
大陆,nl
总人口,n
数,n
１９４９,m
增长,v
年底,nt
翻,v
就业,v
角度,n
推算,v
经济,n
适度,a
过剩,a
若,c
生产力,n
合理,a
承载,v
逆向,v
行,v
危机,n
未来,nt
剧增,v
压力,n
加重,v
有力,a
措施,n
世纪,nt
低,a
收入,v
中等,a
过渡,v
必然,a
面临,v
不可,vu
遏制,v
人均,v
农产品,n
需求量,n
上升,v
中叶,nt
增产,v
依靠,v
单产,n
并且,c
补偿,v
